Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
92,"So we further study the influence of the change of p under the interval-value
generalized orthogonal fuzzy environment on the group decision-making method in this paper.","From the formula of the IVq-ROFYWA operator, we can see that there is also p that affects

the aggregation.","When q=3 and p takes 1, 2, 3, 4, and 5 respectively, calculate the changed values of 𝛼 and 𝛽
multiple times , The score ranking and the ranking results of the schemes are shown in Table 17.",2022-01-04 08:11:28+00:00,A integrating critic-waspas group decision making method under interval-valued q-rung orthogonal fuzzy enviroment,cs.AI,['cs.AI'],"[arxiv.Result.Author('Benting Wan'), arxiv.Result.Author('Shufen Zhou')]","This paper provides a new tool for multi-attribute multi-objective group
decision-making with unknown weights and attributes' weights. An
interval-valued generalized orthogonal fuzzy group decision-making method is
proposed based on the Yager operator and CRITIC-WASPAS method with unknown
weights. The method integrates Yager operator, CRITIC, WASPAS, and interval
value generalized orthogonal fuzzy group. Its merits lie in allowing
decision-makers greater freedom, avoiding bias due to decision-makers' weight,
and yielding accurate evaluation. The research includes: expanding the interval
value generalized distance measurement method for comparison and application of
similarity measurement and decision-making methods; developing a new scoring
function for comparing the size of interval value generalized orthogonal fuzzy
numbers,and further existing researches. The proposed interval-valued Yager
weighted average operator (IVq-ROFYWA) and Yager weighted geometric average
operator (IVq-ROFYWG) are used for information aggregation. The CRITIC-WASPAS
combines the advantages of CRITIC and WASPAS, which not only work in the single
decision but also serve as the basis of the group decision. The in-depth study
of the decision-maker's weight matrix overcomes the shortcomings of taking the
decision as a whole, and weighs the decision-maker's information aggregation.
Finally, the group decision algorithm is used for hypertension risk management.
The results are consistent with decision-makers' opinions. Practice and case
analysis have proved the effectiveness of the method proposed in this paper. At
the same time, it is compared with other operators and decision-making methods,
which proves the method effective and feasible.",-0.16270022,0.3337716,0.08400593,B
176,"3.2.3 Stable Deep Value-Based Learning

These considerations discouraged further research in deep reinforcement learn-
ing for many years.","With function approximation convergence may be even slower, due to values being
assigned to incorrect states.","Instead, research focused on linear function approximators,
which have better convergence guarantees.",2022-01-04 11:47:21+00:00,Deep Reinforcement Learning,cs.AI,"['cs.AI', 'cs.LG']",[arxiv.Result.Author('Aske Plaat')],"Deep reinforcement learning has gathered much attention recently. Impressive
results were achieved in activities as diverse as autonomous driving, game
playing, molecular recombination, and robotics. In all these fields, computer
programs have taught themselves to solve difficult problems. They have learned
to fly model helicopters and perform aerobatic manoeuvers such as loops and
rolls. In some applications they have even become better than the best humans,
such as in Atari, Go, poker and StarCraft. The way in which deep reinforcement
learning explores complex environments reminds us of how children learn, by
playfully trying out things, getting feedback, and trying again. The computer
seems to truly possess aspects of human learning; this goes to the heart of the
dream of artificial intelligence. The successes in research have not gone
unnoticed by educators, and universities have started to offer courses on the
subject. The aim of this book is to provide a comprehensive overview of the
field of deep reinforcement learning. The book is written for graduate students
of artificial intelligence, and for researchers and practitioners who wish to
better understand deep reinforcement learning methods and their challenges. We
assume an undergraduate-level of understanding of computer science and
artificial intelligence; the programming language of this book is Python. We
describe the foundations, the algorithms and the applications of deep
reinforcement learning. We cover the established model-free and model-based
methods that form the basis of the field. Developments go quickly, and we also
cover advanced topics: deep multi-agent reinforcement learning, deep
hierarchical reinforcement learning, and deep meta learning.",0.39634442,0.060295377,0.13736838,C
177,"The DeepMind control suite is especially designed for further research
in the eld [756, 510, 507, 509, 508].","In addition to learning from state derived features, results are presented where
the agent learns from 84 × 84 pixel information, in a simulated form of visuo-motor
interaction.","Other environment suites are Meta-World [863],
Surreal [233], RLbench [374].",2022-01-04 11:47:21+00:00,Deep Reinforcement Learning,cs.AI,"['cs.AI', 'cs.LG']",[arxiv.Result.Author('Aske Plaat')],"Deep reinforcement learning has gathered much attention recently. Impressive
results were achieved in activities as diverse as autonomous driving, game
playing, molecular recombination, and robotics. In all these fields, computer
programs have taught themselves to solve difficult problems. They have learned
to fly model helicopters and perform aerobatic manoeuvers such as loops and
rolls. In some applications they have even become better than the best humans,
such as in Atari, Go, poker and StarCraft. The way in which deep reinforcement
learning explores complex environments reminds us of how children learn, by
playfully trying out things, getting feedback, and trying again. The computer
seems to truly possess aspects of human learning; this goes to the heart of the
dream of artificial intelligence. The successes in research have not gone
unnoticed by educators, and universities have started to offer courses on the
subject. The aim of this book is to provide a comprehensive overview of the
field of deep reinforcement learning. The book is written for graduate students
of artificial intelligence, and for researchers and practitioners who wish to
better understand deep reinforcement learning methods and their challenges. We
assume an undergraduate-level of understanding of computer science and
artificial intelligence; the programming language of this book is Python. We
describe the foundations, the algorithms and the applications of deep
reinforcement learning. We cover the established model-free and model-based
methods that form the basis of the field. Developments go quickly, and we also
cover advanced topics: deep multi-agent reinforcement learning, deep
hierarchical reinforcement learning, and deep meta learning.",0.4957313,-0.19347504,0.098784626,C
178,"Furthermore, in some experiments with a large number of time steps performance
of model-based methods plateaus well below model-free performance, indicating
the need for further research.","The score that the
policy achieves varies greatly for di erent problems, and is sensitive to di erent
hyperparameter values.","Additionally, the performance of the model-based
methods themselves di ered substantially, also indicating a need for further research.",2022-01-04 11:47:21+00:00,Deep Reinforcement Learning,cs.AI,"['cs.AI', 'cs.LG']",[arxiv.Result.Author('Aske Plaat')],"Deep reinforcement learning has gathered much attention recently. Impressive
results were achieved in activities as diverse as autonomous driving, game
playing, molecular recombination, and robotics. In all these fields, computer
programs have taught themselves to solve difficult problems. They have learned
to fly model helicopters and perform aerobatic manoeuvers such as loops and
rolls. In some applications they have even become better than the best humans,
such as in Atari, Go, poker and StarCraft. The way in which deep reinforcement
learning explores complex environments reminds us of how children learn, by
playfully trying out things, getting feedback, and trying again. The computer
seems to truly possess aspects of human learning; this goes to the heart of the
dream of artificial intelligence. The successes in research have not gone
unnoticed by educators, and universities have started to offer courses on the
subject. The aim of this book is to provide a comprehensive overview of the
field of deep reinforcement learning. The book is written for graduate students
of artificial intelligence, and for researchers and practitioners who wish to
better understand deep reinforcement learning methods and their challenges. We
assume an undergraduate-level of understanding of computer science and
artificial intelligence; the programming language of this book is Python. We
describe the foundations, the algorithms and the applications of deep
reinforcement learning. We cover the established model-free and model-based
methods that form the basis of the field. Developments go quickly, and we also
cover advanced topics: deep multi-agent reinforcement learning, deep
hierarchical reinforcement learning, and deep meta learning.",-0.07033841,0.18225384,-0.028739862,B
179,"Additionally, the performance of the model-based
methods themselves di ered substantially, also indicating a need for further research.","Furthermore, in some experiments with a large number of time steps performance
of model-based methods plateaus well below model-free performance, indicating
the need for further research.","Recent surveys are [528, 600].",2022-01-04 11:47:21+00:00,Deep Reinforcement Learning,cs.AI,"['cs.AI', 'cs.LG']",[arxiv.Result.Author('Aske Plaat')],"Deep reinforcement learning has gathered much attention recently. Impressive
results were achieved in activities as diverse as autonomous driving, game
playing, molecular recombination, and robotics. In all these fields, computer
programs have taught themselves to solve difficult problems. They have learned
to fly model helicopters and perform aerobatic manoeuvers such as loops and
rolls. In some applications they have even become better than the best humans,
such as in Atari, Go, poker and StarCraft. The way in which deep reinforcement
learning explores complex environments reminds us of how children learn, by
playfully trying out things, getting feedback, and trying again. The computer
seems to truly possess aspects of human learning; this goes to the heart of the
dream of artificial intelligence. The successes in research have not gone
unnoticed by educators, and universities have started to offer courses on the
subject. The aim of this book is to provide a comprehensive overview of the
field of deep reinforcement learning. The book is written for graduate students
of artificial intelligence, and for researchers and practitioners who wish to
better understand deep reinforcement learning methods and their challenges. We
assume an undergraduate-level of understanding of computer science and
artificial intelligence; the programming language of this book is Python. We
describe the foundations, the algorithms and the applications of deep
reinforcement learning. We cover the established model-free and model-based
methods that form the basis of the field. Developments go quickly, and we also
cover advanced topics: deep multi-agent reinforcement learning, deep
hierarchical reinforcement learning, and deep meta learning.",-0.102895476,0.15385866,-0.037866157,B
180,"This new result, tabula rasa learning in Go with a pure self-play design, inspired
much further research in self-play reinforcement learning.","The program was called AlphaGo Zero, since it
learned from zero-knowledge; not a single grandmaster game was learned from,
nor was there any heuristic domain knowledge hand coded into the program.","6.3.2 AlphaGo Zero Performance

In their paper Silver et al.",2022-01-04 11:47:21+00:00,Deep Reinforcement Learning,cs.AI,"['cs.AI', 'cs.LG']",[arxiv.Result.Author('Aske Plaat')],"Deep reinforcement learning has gathered much attention recently. Impressive
results were achieved in activities as diverse as autonomous driving, game
playing, molecular recombination, and robotics. In all these fields, computer
programs have taught themselves to solve difficult problems. They have learned
to fly model helicopters and perform aerobatic manoeuvers such as loops and
rolls. In some applications they have even become better than the best humans,
such as in Atari, Go, poker and StarCraft. The way in which deep reinforcement
learning explores complex environments reminds us of how children learn, by
playfully trying out things, getting feedback, and trying again. The computer
seems to truly possess aspects of human learning; this goes to the heart of the
dream of artificial intelligence. The successes in research have not gone
unnoticed by educators, and universities have started to offer courses on the
subject. The aim of this book is to provide a comprehensive overview of the
field of deep reinforcement learning. The book is written for graduate students
of artificial intelligence, and for researchers and practitioners who wish to
better understand deep reinforcement learning methods and their challenges. We
assume an undergraduate-level of understanding of computer science and
artificial intelligence; the programming language of this book is Python. We
describe the foundations, the algorithms and the applications of deep
reinforcement learning. We cover the established model-free and model-based
methods that form the basis of the field. Developments go quickly, and we also
cover advanced topics: deep multi-agent reinforcement learning, deep
hierarchical reinforcement learning, and deep meta learning.",0.3259203,0.08963821,0.23164767,C
181,"For further research in multi-agent systems refer
to [846, 792].","A related eld is
swarm intelligence, where communication between homogeneous agents is tak-
ing place [405, 217, 207, 78].","For collective intelligence, see, for example, [405, 208, 257, 847, 598].",2022-01-04 11:47:21+00:00,Deep Reinforcement Learning,cs.AI,"['cs.AI', 'cs.LG']",[arxiv.Result.Author('Aske Plaat')],"Deep reinforcement learning has gathered much attention recently. Impressive
results were achieved in activities as diverse as autonomous driving, game
playing, molecular recombination, and robotics. In all these fields, computer
programs have taught themselves to solve difficult problems. They have learned
to fly model helicopters and perform aerobatic manoeuvers such as loops and
rolls. In some applications they have even become better than the best humans,
such as in Atari, Go, poker and StarCraft. The way in which deep reinforcement
learning explores complex environments reminds us of how children learn, by
playfully trying out things, getting feedback, and trying again. The computer
seems to truly possess aspects of human learning; this goes to the heart of the
dream of artificial intelligence. The successes in research have not gone
unnoticed by educators, and universities have started to offer courses on the
subject. The aim of this book is to provide a comprehensive overview of the
field of deep reinforcement learning. The book is written for graduate students
of artificial intelligence, and for researchers and practitioners who wish to
better understand deep reinforcement learning methods and their challenges. We
assume an undergraduate-level of understanding of computer science and
artificial intelligence; the programming language of this book is Python. We
describe the foundations, the algorithms and the applications of deep
reinforcement learning. We cover the established model-free and model-based
methods that form the basis of the field. Developments go quickly, and we also
cover advanced topics: deep multi-agent reinforcement learning, deep
hierarchical reinforcement learning, and deep meta learning.",0.14142221,0.30598158,0.21688929,B
182,"8.3 Four Rooms, and One Room with Subpolicy and Subgoal [744]

   The promising results stimulate further research in deep hierarchical methods,
and more benchmark studies of large problems are needed.","8.3 Hierarchical Environments  235

Fig.","Let us have a closer
look at the environments that have been used so far.",2022-01-04 11:47:21+00:00,Deep Reinforcement Learning,cs.AI,"['cs.AI', 'cs.LG']",[arxiv.Result.Author('Aske Plaat')],"Deep reinforcement learning has gathered much attention recently. Impressive
results were achieved in activities as diverse as autonomous driving, game
playing, molecular recombination, and robotics. In all these fields, computer
programs have taught themselves to solve difficult problems. They have learned
to fly model helicopters and perform aerobatic manoeuvers such as loops and
rolls. In some applications they have even become better than the best humans,
such as in Atari, Go, poker and StarCraft. The way in which deep reinforcement
learning explores complex environments reminds us of how children learn, by
playfully trying out things, getting feedback, and trying again. The computer
seems to truly possess aspects of human learning; this goes to the heart of the
dream of artificial intelligence. The successes in research have not gone
unnoticed by educators, and universities have started to offer courses on the
subject. The aim of this book is to provide a comprehensive overview of the
field of deep reinforcement learning. The book is written for graduate students
of artificial intelligence, and for researchers and practitioners who wish to
better understand deep reinforcement learning methods and their challenges. We
assume an undergraduate-level of understanding of computer science and
artificial intelligence; the programming language of this book is Python. We
describe the foundations, the algorithms and the applications of deep
reinforcement learning. We cover the established model-free and model-based
methods that form the basis of the field. Developments go quickly, and we also
cover advanced topics: deep multi-agent reinforcement learning, deep
hierarchical reinforcement learning, and deep meta learning.",0.22572848,0.17587122,-0.16987205,C
183,"The
design has spawned much further research, as well as inspired general interest in
arti cial intelligence and reinforcement learning [213, 463, 686, 551, 454, 238, 678,
384].","The AlphaZero design includes an MCTS planner
in a self-play loop that improves a dual-headed deep residual network [703].","10.2.3 Hierarchical Reinforcement Learning

Team play is important in multi-agent problems, and hierarchical approaches can
structure the environment in a hierarchy of agents.",2022-01-04 11:47:21+00:00,Deep Reinforcement Learning,cs.AI,"['cs.AI', 'cs.LG']",[arxiv.Result.Author('Aske Plaat')],"Deep reinforcement learning has gathered much attention recently. Impressive
results were achieved in activities as diverse as autonomous driving, game
playing, molecular recombination, and robotics. In all these fields, computer
programs have taught themselves to solve difficult problems. They have learned
to fly model helicopters and perform aerobatic manoeuvers such as loops and
rolls. In some applications they have even become better than the best humans,
such as in Atari, Go, poker and StarCraft. The way in which deep reinforcement
learning explores complex environments reminds us of how children learn, by
playfully trying out things, getting feedback, and trying again. The computer
seems to truly possess aspects of human learning; this goes to the heart of the
dream of artificial intelligence. The successes in research have not gone
unnoticed by educators, and universities have started to offer courses on the
subject. The aim of this book is to provide a comprehensive overview of the
field of deep reinforcement learning. The book is written for graduate students
of artificial intelligence, and for researchers and practitioners who wish to
better understand deep reinforcement learning methods and their challenges. We
assume an undergraduate-level of understanding of computer science and
artificial intelligence; the programming language of this book is Python. We
describe the foundations, the algorithms and the applications of deep
reinforcement learning. We cover the established model-free and model-based
methods that form the basis of the field. Developments go quickly, and we also
cover advanced topics: deep multi-agent reinforcement learning, deep
hierarchical reinforcement learning, and deep meta learning.",0.52622116,0.19064566,0.25633326,C
184,"Optimization-based
methods such as MAML learn better initial network parameters for new tasks, and
have spawned much further research.","In the elds of image recognition and natural language processing it has become
common practice to use networks that are pretrained on ImageNet [191, 236]
or BERT [193] or other large pretrained networks [547, 92].","Zero-shot learning is a meta-learning approach where outside information is
learned, such as attributes or a textual description for image content, that is then
used to recognize individuals from a new class [635, 718, 850, 10].",2022-01-04 11:47:21+00:00,Deep Reinforcement Learning,cs.AI,"['cs.AI', 'cs.LG']",[arxiv.Result.Author('Aske Plaat')],"Deep reinforcement learning has gathered much attention recently. Impressive
results were achieved in activities as diverse as autonomous driving, game
playing, molecular recombination, and robotics. In all these fields, computer
programs have taught themselves to solve difficult problems. They have learned
to fly model helicopters and perform aerobatic manoeuvers such as loops and
rolls. In some applications they have even become better than the best humans,
such as in Atari, Go, poker and StarCraft. The way in which deep reinforcement
learning explores complex environments reminds us of how children learn, by
playfully trying out things, getting feedback, and trying again. The computer
seems to truly possess aspects of human learning; this goes to the heart of the
dream of artificial intelligence. The successes in research have not gone
unnoticed by educators, and universities have started to offer courses on the
subject. The aim of this book is to provide a comprehensive overview of the
field of deep reinforcement learning. The book is written for graduate students
of artificial intelligence, and for researchers and practitioners who wish to
better understand deep reinforcement learning methods and their challenges. We
assume an undergraduate-level of understanding of computer science and
artificial intelligence; the programming language of this book is Python. We
describe the foundations, the algorithms and the applications of deep
reinforcement learning. We cover the established model-free and model-based
methods that form the basis of the field. Developments go quickly, and we also
cover advanced topics: deep multi-agent reinforcement learning, deep
hierarchical reinforcement learning, and deep meta learning.",0.29204333,-0.28716376,-0.14147487,C
