Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
19,"• We shed light on the application of the pseudo-barycenter to L2-objective unsupervised learn-
   ing to achieve diverse data allocation and representation, which provides potential access to
   fairness in unsupervised learning and deserves further study, see Figure 1.","• We design an algorithm that is computationally eﬃcient in high-dimensional data space,
   by proving a (nearly) closed-form solution of the pseudo-barycenter and the corresponding
   optimal transport maps in both the Gaussian case and the general marginal distribution case.","3
Figure 1: In the upper-left panel, the three distributions are sampled from isotropic Gaussian distribution with diﬀerent ﬁrst
two moments.",2022-01-02 05:05:26+00:00,Fair Data Representation for Machine Learning at the Pareto Frontier,stat.ML,"['stat.ML', 'cs.LG', 'math.PR']","[arxiv.Result.Author('Shizhou Xu'), arxiv.Result.Author('Thomas Strohmer')]","As machine learning powered decision making is playing an increasingly
important role in our daily lives, it is imperative to strive for fairness of
the underlying data processing and algorithms. We propose a pre-processing
algorithm for fair data representation via which L2- objective supervised
learning algorithms result in an estimation of the Pareto frontier between
prediction error and statistical disparity. In particular, the present work
applies the optimal positive definite affine transport maps to approach the
post-processing Wasserstein barycenter characterization of the optimal fair
L2-objective supervised learning via a pre-processing data deformation. We call
the resulting data Wasserstein pseudo-barycenter. Furthermore, we show that the
Wasserstein geodesics from the learning outcome marginals to the barycenter
characterizes the Pareto frontier between L2-loss and total Wasserstein
distance among learning outcome marginals. Thereby, an application of McCann
interpolation generalizes the pseudo-barycenter to a family of data
representations via which L2-objective supervised learning algorithms result in
the Pareto frontier. Numerical simulations underscore the advantages of the
proposed data representation: (1) the pre-processing step is compositive with
arbitrary L2-objective supervised learning methods and unseen data; (2) the
fair representation protects data privacy by preventing the training machine
from direct or indirect access to the sensitive information of the data; (3)
the optimal affine map results in efficient computation of fair supervised
learning on high-dimensional data; (4) experimental results shed light on the
fairness of L2-objective unsupervised learning via the proposed fair data
representation.",0.2527148,0.063772395,0.124652706,A
443,"We view this work as a very ﬁrst step to explore loss surfaced based implicit regularization and
hope that the presented ideas spark further research into this direction.","Both quantities depend on the learning rate
𝜂𝑡 and the switch between reaching and non-escaping of local minima is driven by the decay of the
learning rate.","We want to stress that in

                                                                             14
many respects, the obtained results in this work are preliminary.",2022-01-12 16:41:34+00:00,On generalization bounds for deep networks based on loss surface implicit regularization,stat.ML,"['stat.ML', 'cs.LG']","[arxiv.Result.Author('Masaaki Imaizumi'), arxiv.Result.Author('Johannes Schmidt-Hieber')]","The classical statistical learning theory says that fitting too many
parameters leads to overfitting and poor performance. That modern deep neural
networks generalize well despite a large number of parameters contradicts this
finding and constitutes a major unsolved problem towards explaining the success
of deep learning. The implicit regularization induced by stochastic gradient
descent (SGD) has been regarded to be important, but its specific principle is
still unknown. In this work, we study how the local geometry of the energy
landscape around local minima affects the statistical properties of SGD with
Gaussian gradient noise. We argue that under reasonable assumptions, the local
geometry forces SGD to stay close to a low dimensional subspace and that this
induces implicit regularization and results in tighter bounds on the
generalization error for deep neural networks. To derive generalization error
bounds for neural networks, we first introduce a notion of stagnation sets
around the local minima and impose a local essential convexity property of the
population risk. Under these conditions, lower bounds for SGD to remain in
these stagnation sets are derived. If stagnation occurs, we derive a bound on
the generalization error of deep neural networks involving the spectral norms
of the weight matrices but not the number of network parameters. Technically,
our proofs are based on controlling the change of parameter values in the SGD
iterates and local uniform convergence of the empirical loss functions based on
the entropy of suitable neighborhoods around local minima. Our work attempts to
better connect non-convex optimization and generalization analysis with uniform
convergence.",0.45900568,0.02790752,0.009644605,A
444,"We view this work as a very ﬁrst step to explore loss surfaced based implicit regularization and
hope that the presented ideas spark further research into this direction.","The switch between reaching and non-escaping
of local minima is driven by the decay of the learning rate.","We want to stress that in
many respects, the obtained results in this work are preliminary.",2022-01-12 16:41:34+00:00,On generalization bounds for deep networks based on loss surface implicit regularization,stat.ML,"['stat.ML', 'cs.LG']","[arxiv.Result.Author('Masaaki Imaizumi'), arxiv.Result.Author('Johannes Schmidt-Hieber')]","The classical statistical learning theory implies that fitting too many
parameters leads to overfitting and poor performance. That modern deep neural
networks generalize well despite a large number of parameters contradicts this
finding and constitutes a major unsolved problem towards explaining the success
of deep learning. While previous work focuses on the implicit regularization
induced by stochastic gradient descent (SGD), we study here how the local
geometry of the energy landscape around local minima affects the statistical
properties of SGD with Gaussian gradient noise. We argue that under reasonable
assumptions, the local geometry forces SGD to stay close to a low dimensional
subspace and that this induces another form of implicit regularization and
results in tighter bounds on the generalization error for deep neural networks.
To derive generalization error bounds for neural networks, we first introduce a
notion of stagnation sets around the local minima and impose a local essential
convexity property of the population risk. Under these conditions, lower bounds
for SGD to remain in these stagnation sets are derived. If stagnation occurs,
we derive a bound on the generalization error of deep neural networks involving
the spectral norms of the weight matrices but not the number of network
parameters. Technically, our proofs are based on controlling the change of
parameter values in the SGD iterates and local uniform convergence of the
empirical loss functions based on the entropy of suitable neighborhoods around
local minima.",0.47809613,0.04742686,0.02830551,A_centroid
445,"Training is             We view this work as a very ﬁrst step to explore loss surfaced
                                                                          based implicit regularization and hope that the presented ideas spark
done using Gaussian SGD (2) with multivariate standard normal             further research into this direction.","The number of parameters
𝐷 = ℎ + ℎ2 lies therefore in the interval [30, 930].","We want to stress that in many
                                                                          respects, the obtained results in this work are preliminary.",2022-01-12 16:41:34+00:00,On generalization bounds for deep networks based on loss surface implicit regularization,stat.ML,"['stat.ML', 'cs.LG']","[arxiv.Result.Author('Masaaki Imaizumi'), arxiv.Result.Author('Johannes Schmidt-Hieber')]","The classical statistical learning theory implies that fitting too many
parameters leads to overfitting and poor performance. That modern deep neural
networks generalize well despite a large number of parameters contradicts this
finding and constitutes a major unsolved problem towards explaining the success
of deep learning. While previous work focuses on the implicit regularization
induced by stochastic gradient descent (SGD), we study here how the local
geometry of the energy landscape around local minima affects the statistical
properties of SGD with Gaussian gradient noise. We argue that under reasonable
assumptions, the local geometry forces SGD to stay close to a low dimensional
subspace and that this induces another form of implicit regularization and
results in tighter bounds on the generalization error for deep neural networks.
To derive generalization error bounds for neural networks, we first introduce a
notion of stagnation sets around the local minima and impose a local essential
convexity property of the population risk. Under these conditions, lower bounds
for SGD to remain in these stagnation sets are derived. If stagnation occurs,
we derive a bound on the generalization error of deep neural networks involving
the spectral norms of the weight matrices but not the number of network
parameters. Technically, our proofs are based on controlling the change of
parameter values in the SGD iterates and local uniform convergence of the
empirical loss functions based on the entropy of suitable neighborhoods around
local minima.",0.43372077,0.1474472,0.09863022,A
495,"Hence, further research can focus on determining optimal ways to estimate epidemic
state from noisy data due to delays and testing variance, as well as understanding the impact
that policy levers such as lockdowns and masks have on the spread of infectious disease.","This will require reﬁned statis-
tical algorithms for estimating the state of an epidemic subject to noisy observations, as well
as an understanding of the mechanisms that policy makers can utilize to inhibit spread of the
disease.","By
unifying the disparate approaches to epidemic forecasting, we hope to take a step towards
reaping the beneﬁts of both approaches in the design of public health policy for infectious
disease.",2022-01-07 19:42:05+00:00,Unifying Epidemic Models with Mixtures,stat.ML,"['stat.ML', 'cs.LG', 'stat.AP']","[arxiv.Result.Author('Arnab Sarker'), arxiv.Result.Author('Ali Jadbabaie'), arxiv.Result.Author('Devavrat Shah')]","The COVID-19 pandemic has emphasized the need for a robust understanding of
epidemic models. Current models of epidemics are classified as either
mechanistic or non-mechanistic: mechanistic models make explicit assumptions on
the dynamics of disease, whereas non-mechanistic models make assumptions on the
form of observed time series. Here, we introduce a simple mixture-based model
which bridges the two approaches while retaining benefits of both. The model
represents time series of cases and fatalities as a mixture of Gaussian curves,
providing a flexible function class to learn from data compared to traditional
mechanistic models. Although the model is non-mechanistic, we show that it
arises as the natural outcome of a stochastic process based on a networked SIR
framework. This allows learned parameters to take on a more meaningful
interpretation compared to similar non-mechanistic models, and we validate the
interpretations using auxiliary mobility data collected during the COVID-19
pandemic. We provide a simple learning algorithm to identify model parameters
and establish theoretical results which show the model can be efficiently
learned from data. Empirically, we find the model to have low prediction error.
The model is available live at covidpredictions.mit.edu. Ultimately, this
allows us to systematically understand the impacts of interventions on
COVID-19, which is critical in developing data-driven solutions to controlling
epidemics.",-0.1975843,-0.0016963433,-0.23148337,C
558,"Moreover, as in this study only rather low sample sizes were investigated, the behavior of these
approaches in big data settings with larger sample sizes should also be further researched.","Also, mixed problems with numeric and categorical outputs at the same time have to be inves-
tigated.","References

Breiman, L., 2001.",2022-01-14 08:44:25+00:00,Machine Learning for Multi-Output Regression: When should a holistic multivariate approach be preferred over separate univariate ones?,stat.ML,"['stat.ML', 'cs.LG']","[arxiv.Result.Author('Lena Schmid'), arxiv.Result.Author('Alexander Gerharz'), arxiv.Result.Author('Andreas Groll'), arxiv.Result.Author('Markus Pauly')]","Tree-based ensembles such as the Random Forest are modern classics among
statistical learning methods. In particular, they are used for predicting
univariate responses. In case of multiple outputs the question arises whether
we separately fit univariate models or directly follow a multivariate approach.
For the latter, several possibilities exist that are, e.g. based on modified
splitting or stopping rules for multi-output regression. In this work we
compare these methods in extensive simulations to help in answering the primary
question when to use multivariate ensemble techniques.",-0.33754522,-0.02144051,0.046641454,C
996,"The authors encourage further research devoted to these topics, but
this is outside the scope of the present work.","It should be pointed out here that only predic-
tive performance of the algorithms in terms of prediction error will be taken
into account, and other aspects, such as the ability to quantify uncertainty
of predictions and the possibility of investigating causality, are features that
should be considered when choosing an algorithm for prediction or optimiza-
tion2.","The paper is organized as follows: section 2 presents the literature back-
ground to the application of ML for the analysis of DOE data; section 3
presents the methodology and details of the simulation study conducted;
section 4 shows the results and section 5 discusses the ﬁndings in depth.",2022-01-25 11:14:36+00:00,Design choice and machine learning model performances,stat.ML,"['stat.ML', 'cs.LG']","[arxiv.Result.Author('Rosa Arboretti'), arxiv.Result.Author('Riccardo Ceccato'), arxiv.Result.Author('Luca Pegoraro'), arxiv.Result.Author('Luigi Salmaso')]","An increasing number of publications present the joint application of Design
of Experiments (DOE) and machine learning (ML) as a methodology to collect and
analyze data on a specific industrial phenomenon. However, the literature shows
that the choice of the design for data collection and model for data analysis
is often driven by incidental factors, rather than by statistical or
algorithmic advantages, thus there is a lack of studies which provide
guidelines on what designs and ML models to jointly use for data collection and
analysis. This is the first time in the literature that a paper discusses the
choice of design in relation to the ML model performances. An extensive study
is conducted that considers 12 experimental designs, 7 families of predictive
models, 7 test functions that emulate physical processes, and 8 noise settings,
both homoscedastic and heteroscedastic. The results of the research can have an
immediate impact on the work of practitioners, providing guidelines for
practical applications of DOE and ML.",-0.26400757,0.23654881,-0.008917647,B
997,"The authors encourage further research devoted to these topics, but this is outside the scope
of the present work.","It should be pointed
                                          out here that only predictive performance of the algorithms in terms of prediction error will be taken into
                                          account, and other aspects, such as the ability to quantify uncertainty of predictions and the possibility of
                                          investigating causality, are features that should be considered when choosing an algorithm for prediction or
                                      Published OA in QREI - DOI: 10.1002/qre.3123

optimization 2.","The paper is organized as follows: section 2 presents the literature background to the application of
ML for the analysis of DOE data; section 3 presents the methodology and details of the simulation study
conducted; section 4 shows the results and section 5 discusses the ﬁndings in depth.",2022-01-25 11:14:36+00:00,Design choice and machine learning model performances,stat.ML,"['stat.ML', 'cs.LG']","[arxiv.Result.Author('Rosa Arboretti'), arxiv.Result.Author('Riccardo Ceccato'), arxiv.Result.Author('Luca Pegoraro'), arxiv.Result.Author('Luigi Salmaso')]","An increasing number of publications present the joint application of Design
of Experiments (DOE) and machine learning (ML) as a methodology to collect and
analyze data on a specific industrial phenomenon. However, the literature shows
that the choice of the design for data collection and model for data analysis
is often not driven by statistical or algorithmic advantages, thus there is a
lack of studies which provide guidelines on what designs and ML models to
jointly use for data collection and analysis. This article discusses the choice
of design in relation to the ML model performances. A study is conducted that
considers 12 experimental designs, 7 families of predictive models, 7 test
functions that emulate physical processes, and 8 noise settings, both
homoscedastic and heteroscedastic. The results of the research can have an
immediate impact on the work of practitioners, providing guidelines for
practical applications of DOE and ML.",-0.2346119,0.24093574,-0.044823706,B
1446,"This exploratory work aims to share
a potential path forward for further research that may address these concerns with the community.","Therefore, we as a community,
must begin addressing how we can ameliorate our own carbon footprint.","While Ws
is still not ready for commercial usage, we sincerely hope that the community begins to build novel algorithms
over our work on H-Sequence and identify a simpler and cheaper path to train our networks.",2022-02-01 20:30:43+00:00,Deep Layer-wise Networks Have Closed-Form Weights,stat.ML,"['stat.ML', 'cs.LG', 'math.ST', 'stat.TH']","[arxiv.Result.Author('Chieh Wu'), arxiv.Result.Author('Aria Masoomi'), arxiv.Result.Author('Arthur Gretton'), arxiv.Result.Author('Jennifer Dy')]","There is currently a debate within the neuroscience community over the
likelihood of the brain performing backpropagation (BP). To better mimic the
brain, training a network \textit{one layer at a time} with only a ""single
forward pass"" has been proposed as an alternative to bypass BP; we refer to
these networks as ""layer-wise"" networks. We continue the work on layer-wise
networks by answering two outstanding questions. First, $\textit{do they have a
closed-form solution?}$ Second, $\textit{how do we know when to stop adding
more layers?}$ This work proves that the Kernel Mean Embedding is the
closed-form weight that achieves the network global optimum while driving these
networks to converge towards a highly desirable kernel for classification; we
call it the $\textit{Neural Indicator Kernel}$.",-0.10637114,0.052761216,0.1338373,B
1821,We hope that our framework can spur further research on integrative data analysis.,"We also veriﬁed the theories by extensive nu-
merical experiments.","It
would be interesting to extend our methods to high-dimensional problems with sparsity or other structures,
and develop inferential tools for uncertainty quantiﬁcation.",2022-02-10 18:55:58+00:00,Adaptive and Robust Multi-task Learning,stat.ML,"['stat.ML', 'cs.LG', 'math.ST', 'stat.ME', 'stat.TH', '62F10, 62R07']","[arxiv.Result.Author('Yaqi Duan'), arxiv.Result.Author('Kaizheng Wang')]","We study the multi-task learning problem that aims to simultaneously analyze
multiple datasets collected from different sources and learn one model for each
of them. We propose a family of adaptive methods that automatically utilize
possible similarities among those tasks while carefully handling their
differences. We derive sharp statistical guarantees for the methods and prove
their robustness against outlier tasks. Numerical experiments on synthetic and
real datasets demonstrate the efficacy of our new methods.",-0.06935513,-0.06916457,-0.07156877,C
