Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
147,"We leave this as an
open problem for further research.","It is natural to conjecture that our
construction (or a slightly modiﬁed construction) provides such a guarantee.","References

[ABES14]  B. Aronov, M. de Berg, E. Ezra, and M. Sharir.",2022-01-05 22:11:25+00:00,Sparsifying Disk Intersection Graphs for Reliable Connectivity,cs.CG,['cs.CG'],"[arxiv.Result.Author('Sariel Har-Peled'), arxiv.Result.Author('Eliot Wong Robson')]","The intersection graph induced by a set $\Disks$ of $n$ disks can be dense.
It is thus natural to try and sparsify it, while preserving connectivity.
Unfortunately, sparse graphs can always be made disconnected by removing a
small number of vertices. In this work, we present a sparsification algorithm
that maintains connectivity between two disks in the computed graph, if the
original graph remains ``well-connected'' even after removing an arbitrary
``attack'' set $\BSet \subseteq \Disks$ from both graphs. Thus, the new sparse
graph has similar reliability to the original disk graph, and can withstand
catastrophic failure of nodes while still providing a connectivity guarantee
for the remaining graph. The new graphs has near linear complexity, and can be
constructed in near linear time.
  The algorithm extends to any collection of shapes in the plane, such that
their union complexity is near linear.",-0.14949313,-0.24351656,-0.30745837,C
2303,"Lastly, there are several other directions for further research conceivable, e.g.","We are currently working on a generalization to point sets
    fulﬁlling (P1).","considering
    simple drawings (or other types of drawings) instead of straight-line drawings.",2022-02-22 11:45:15+00:00,Flipping Plane Spanning Paths,cs.CG,['cs.CG'],"[arxiv.Result.Author('Oswin Aichholzer'), arxiv.Result.Author('Kristin Knorr'), arxiv.Result.Author('Maarten Löffler'), arxiv.Result.Author('Zuzana Masárová'), arxiv.Result.Author('Wolfgang Mulzer'), arxiv.Result.Author('Johannes Obenaus'), arxiv.Result.Author('Rosna Paul'), arxiv.Result.Author('Birgit Vogtenhuber')]","Let $S$ be a planar point set in general position, and let $\mathcal{P}(S)$
be the set of all plane straight-line paths with vertex set $S$. A flip on a
path $P \in \mathcal{P}(S)$ is the operation of replacing an edge $e$ of $P$
with another edge $f$ on $S$ to obtain a new valid path from $\mathcal{P}(S)$.
It is a long-standing open question whether for every given planar point set
$S$, every path from $\mathcal{P}(S)$ can be transformed into any other path
from $\mathcal{P}(S)$ by a sequence of flips. To achieve a better understanding
of this question, we provide positive answers for special classes of point
sets, namely, for wheel sets, ice cream cones, double chains, and double
circles. Moreover, we show for general point sets, it is sufficient to prove
the statement for plane spanning paths whose first edge is fixed.",0.12243105,0.06858127,0.010245781,A
2304,"Lastly, there are several other directions for further research conceivable, e.g.","A proof for general
point sets, however, seems elusive at the moment.","considering simple drawings (or other types of drawings) instead of straight-line
drawings.",2022-02-22 11:45:15+00:00,Flipping Plane Spanning Paths,cs.CG,['cs.CG'],"[arxiv.Result.Author('Oswin Aichholzer'), arxiv.Result.Author('Kristin Knorr'), arxiv.Result.Author('Wolfgang Mulzer'), arxiv.Result.Author('Johannes Obenaus'), arxiv.Result.Author('Rosna Paul'), arxiv.Result.Author('Birgit Vogtenhuber')]","Let $S$ be a planar point set in general position, and let $\mathcal{P}(S)$
be the set of all plane straight-line paths with vertex set $S$. A flip on a
path $P \in \mathcal{P}(S)$ is the operation of replacing an edge $e$ of $P$
with another edge $f$ on $S$ to obtain a new valid path from $\mathcal{P}(S)$.
It is a long-standing open question whether for every given point set $S$,
every path from $\mathcal{P}(S)$ can be transformed into any other path from
$\mathcal{P}(S)$ by a sequence of flips. To achieve a better understanding of
this question, we show that it is sufficient to prove the statement for plane
spanning paths whose first edge is fixed. Furthermore, we provide positive
answers for special classes of point sets, namely, for wheel sets and
generalized double circles (which include, e.g., double chains and double
circles).",0.08641259,-0.005442374,-0.032659374,A
2874,"This                      condition number for sampling 𝛾, although further research on it
                                                                                          is needed.","We can consider this as a
number of binary subdivision steps to accelerate the algorithm.","strategy does indeed accelerate the sampler, as shown by experi-
                                                                                          Proof of Theorem 5.9.",2022-03-05 23:21:32+00:00,On the sampling error for parametric curves,cs.CG,"['cs.CG', 'cs.CC', 'cs.NA', 'math.NA', 'math.PR', '65D18, 33F05']","[arxiv.Result.Author('Apostolos Chalkis'), arxiv.Result.Author('Christina Katsamaki'), arxiv.Result.Author('Josué Tonelli-Cueto')]","Given a parametric polynomial curve $\gamma:[a,b]\rightarrow \mathbb{R}^n$,
how can we sample a point $\mathfrak{x}\in \mathrm{im}(\gamma)$ in such a way
that it is distributed uniformly with respect to the arc-length? Unfortunately,
we cannot sample exactly such a point -- even assuming we can perform exact
arithmetic operations. So we end up with the following question: how does the
method we choose affect the quality of the approximate sample we obtain? In
practice, there are many answers. However, in theory, there are still gaps in
our understanding. In this paper, we address this question from the point of
view of complexity theory, providing bounds in terms of the size of the desired
error.",-0.13588858,-0.22583559,-0.15574026,C
3282,"2.2.2 Exact Methods

   DSATUR has also been used as a subroutine in a branch-and-bound-based exact graph
   coloring algorithm, sometimes called Backtracking DSATUR [33], which became the de-facto
   standard algorithm for exact graph coloring for a while after its presentation in 1991; it was
   later improved by further research, in part driven by the 1993 DIMACS implementation
   challenge on Cliques, Coloring and Satisﬁability [36].","Variations of this heuristic have been studied and shown to be successful for certain
   graph classes [27].","More recently, San Segundo [34] and
   Furini et al.",2022-03-14 19:02:24+00:00,Minimum Partition into Plane Subgraphs: The CG:SHOP Challenge 2022,cs.CG,"['cs.CG', 'cs.DS', 'F.2.2']","[arxiv.Result.Author('Sándor P. Fekete'), arxiv.Result.Author('Phillip Keldenich'), arxiv.Result.Author('Dominik Krupke'), arxiv.Result.Author('Stefan Schirra')]","We give an overview of the 2022 Computational Geometry Challenge targeting
the problem Minimum Partition into Plane Subsets, which consists of
partitioning a given set of line segments into a minimum number of non-crossing
subsets.",-0.15674654,-0.09966215,0.14279138,C
3617,"As inducted in [24], it was shown that the
Dikin walk may be extended to generic curves with subconscious barriers, which
was proven in a further study.","Additionally, as stated in greater detail later
in this section, it generates proposal distributions beginning with the typical
logarithmic barrier for a polytope.",4       C. Karras et al.,2022-03-21 17:55:21+00:00,DBSOP: An Efficient Heuristic for Speedy MCMC Sampling on Polytopes,cs.CG,"['cs.CG', 'cs.DM']","[arxiv.Result.Author('Christos Karras'), arxiv.Result.Author('Aristeidis Karras')]","Markov Chain Monte Carlo (MCMC) techniques have long been studied in
computational geometry subjects whereabouts the problems to be studied are
complex geometric objects which by their nature require optimized techniques to
be deployed or to gain useful insights by them. MCMC approaches are directly
answering to geometric problems we are attempting to answer, and how these
problems could be deployed from theory to practice. Polytope which is a limited
volume in n-dimensional space specified by a collection of linear inequality
constraints require specific approximation. Therefore, sampling across density
based polytopes can not be performed without the use of such methods in which
the amount of repetition required is defined as a property of error margin. In
this work we propose a simple accurate sampling approach based on the
triangulation (tessellation) of a polytope. Moreover, we propose an efficient
algorithm named Density Based Sampling on Polytopes (DBSOP) for speedy MCMC
sampling where the time required to perform sampling is significantly lower
compared to existing approaches in low dimensions with complexity
$\mathcal{O}^{*}\left(n^{3}\right)$. Ultimately, we highlight possible future
aspects and how the proposed scheme can be further improved with the
integration of reservoir-sampling based methods resulting in more speedy and
efficient solution.",0.62422943,-0.2125301,0.4184097,B
3618,"As inducted in [27], it was shown that
the Dikin walk may be extended to generic curves with subconscious barriers,
which was proven in a further study.","Additionally, as stated in greater
detail later in this section, it generates proposal distributions beginning with the
typical logarithmic barrier for a polytope.",4       C. Karras et al.,2022-03-21 17:55:21+00:00,DBSOP: An Efficient Heuristic for Speedy MCMC Sampling on Polytopes,cs.CG,"['cs.CG', 'cs.DM']","[arxiv.Result.Author('Christos Karras'), arxiv.Result.Author('Aristeidis Karras')]","Markov Chain Monte Carlo (MCMC) techniques have long been studied in
computational geometry subjects whereabouts the problems to be studied are
complex geometric objects which by their nature require optimized techniques to
be deployed or to gain useful insights by them. MCMC approaches are directly
answering to geometric problems we are attempting to answer, and how these
problems could be deployed from theory to practice. Polytope which is a limited
volume in n-dimensional space specified by a collection of linear inequality
constraints require specific approximation. Therefore, sampling across density
based polytopes can not be performed without the use of such methods in which
the amount of repetition required is defined as a property of error margin. In
this work we propose a simple accurate sampling approach based on the
triangulation (tessellation) of a polytope. Moreover, we propose an efficient
algorithm named Density Based Sampling on Polytopes (DBSOP) for speedy MCMC
sampling where the time required to perform sampling is significantly lower
compared to existing approaches in low dimensions with complexity
$\mathcal{O}^{*}\left(n^{3}\right)$. Ultimately, we highlight possible future
aspects and how the proposed scheme can be further improved with the
integration of reservoir-sampling based methods resulting in more speedy and
efficient solution.",0.6245011,-0.21330804,0.41787428,B_centroid
3619,"As inducted in [27], it was shown that
the Dikin walk may be extended to generic curves with subconscious barriers,
which was proven in a further study.","Additionally, as stated in greater
detail later in this section, it generates proposal distributions beginning with the
typical logarithmic barrier for a polytope.",4       C. Karras et al.,2022-03-21 17:55:21+00:00,DBSOP: An Efficient Heuristic for Speedy MCMC Sampling on Polytopes,cs.CG,"['cs.CG', 'cs.DM']","[arxiv.Result.Author('Christos Karras'), arxiv.Result.Author('Aristeidis Karras')]","Markov Chain Monte Carlo (MCMC) techniques have long been studied in
computational geometry subjects whereabouts the problems to be studied are
complex geometric objects which by their nature require optimized techniques to
be deployed or to gain useful insights by them. MCMC approaches are directly
answering to geometric problems we are attempting to answer, and how these
problems could be deployed from theory to practice. Polytope which is a limited
volume in n-dimensional space specified by a collection of linear inequality
constraints require specific approximation. Therefore, sampling across density
based polytopes can not be performed without the use of such methods in which
the amount of repetition required is defined as a property of error margin. In
this work we propose a simple accurate sampling approach based on the
triangulation (tessellation) of a polytope. Moreover, we propose an efficient
algorithm named Density Based Sampling on Polytopes (DBSOP) for speedy MCMC
sampling where the time required to perform sampling is significantly lower
compared to existing approaches in low dimensions with complexity
$\mathcal{O}^{*}\left(n^{3}\right)$. Ultimately, we highlight possible future
aspects and how the proposed scheme can be further improved with the
integration of reservoir-sampling based methods resulting in more speedy and
efficient solution.",0.6245011,-0.21330804,0.41787428,B
4471,"[PVDT21] explicitly compare their edit distance method to
entry point for further research into this ﬁeld and its application     these distance measures.","Pont
notion of tree edit distances as a whole, and we aim to provide an      et al.","An example for a more advanced method
in scientiﬁc visualization and computational topology, for which it     based on persistence diagrams is the work by Rieck et al.",2022-04-06 16:19:39+00:00,Branch Decomposition-Independent Edit Distances for Merge Trees,cs.CG,"['cs.CG', 'cs.GR']","[arxiv.Result.Author('Florian Wetzels'), arxiv.Result.Author('Heike Leitte'), arxiv.Result.Author('Christoph Garth')]","Edit distances between merge trees of scalar fields have many applications in
scientific visualization, such as ensemble analysis, feature tracking or
symmetry detection. In this paper, we propose branch mappings, a novel approach
to the construction of edit mappings for merge trees. Classic edit mappings
match nodes or edges of two trees onto each other, and therefore have to either
rely on branch decompositions of both trees or have to use auxiliary node
properties to determine a matching. In contrast, branch mappings employ branch
properties instead of node similarity information, and are independent of
predetermined branch decompositions. Especially for topological features, which
are typically based on branch properties, this allows a more intuitive distance
measure which is also less susceptible to instabilities from small-scale
perturbations. We describe a quartic runtime algorithm for computing optimal
branch mappings, which is faster than the only other branch
decomposition-independent method in the literature by more than a linear
factor. Furthermore, we compare the results of our method on synthetic and
real-world examples to demonstrate its practicality and utility.",-0.07455511,0.10847432,0.023865733,A
5760,"There are
many directions for further research on this problem and the general Euclidean k-dispersion problem.","22

6 Conclusion

In this paper, we studied the k-dispersion problem on a convex polygon and proposed an exponential
time exact algorithm for any k and a logarithmic time approximation algorithm for k = 3.","9
Since the NP-hardness of the convex version of the problem is unknown, the problem is open from the
point of polynomial exact algorithm or faster exact exponential algorithm.",2022-05-04 12:06:53+00:00,Max-Min $k$-Dispersion on a Convex Polygon,cs.CG,['cs.CG'],"[arxiv.Result.Author('Vishwanath R. Singireddy'), arxiv.Result.Author('Manjanna Basappa')]","In this paper, we consider the following $k$-dispersion problem. Given a set
$S$ of $n$ points placed in the plane in a convex position, and an integer $k$
($0<k<n$), the objective is to compute a subset $S'\subset S$ such that
$|S'|=k$ and the minimum distance between a pair of points in $S'$ is
maximized. Based on the bounded search tree method we propose an exact
fixed-parameter algorithm in $O(2^k(n^2\log n+n(\log^2 n)(\log k)))$ time, for
this problem, where $k$ is the parameter. The proposed exact algorithm is
better than the current best exact exponential algorithm
[$n^{O(\sqrt{k})}$-time algorithm by Akagi et al.,(2018)] whenever
$k<c\log^2{n}$ for some constant $c$. We then present an $O(\log{n})$-time
$\frac{1}{2\sqrt{2}}$-approximation algorithm for the problem when $k=3$ if the
points are given in convex position order.",-0.21563765,-0.16801593,0.050583445,C
