Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
7390,"Moreover,
     we want to further study the locations of the critical points of W∨ .",", n−m−1} and agree with the c1 -eigenvalues.","For simplicity, let’s assume

     n = 2 and m = 1, then

                            W∨ = x1 + TE(Hy1)x0 + TE(H2)x0

     is deﬁned on Y = {x0x1 = 1 + y}.",2022-06-09 17:49:41+00:00,Family Floer mirror space for local SYZ singularities,math.SG,"['math.SG', 'math.AG', 'math.DG']",[arxiv.Result.Author('Hang Yuan')],"We state a non-archimedean and Floer-theoretic version of the SYZ conjecture
and verify it for the Gross's special Lagrangian fibration in any toric
Calabi-Yau manifold. By combining both the ideas of Gross-Hacking-Keel and
Kontsevich-Soibelman, the dual analytic fibration with singularities is
explicitly written down and is proved to be compatible with the family Floer
mirror construction. As a surprising outcome, the Maurer-Cartan set of a
singular Lagrangian is naturally only a strict subset of the corresponding dual
singular fiber. This responds negatively to the previous expectation and leads
to new perspectives of SYZ singularities. As extra evidence, we also check some
computations for a well-known folklore conjecture.",0.72056305,-0.2502909,0.02480132,A_centroid
7391,"But admittedly, an ultimate answer would require lots of further researches.","The framework of Deﬁnition 1.4 may be closer to a correct
one and should be sufﬁcient when the mirror space is expected to be algebraic rather than transcendental.","6 Generalizations

By combining the ideas in § 2, 3, 5 with some basics of tropical and toric geometry, we can obtain quite

a lot of generalizations with little change of ideas.",2022-06-09 17:49:41+00:00,Family Floer mirror space for local SYZ singularities,math.SG,"['math.SG', 'math.AG', 'math.DG']",[arxiv.Result.Author('Hang Yuan')],"We state a non-archimedean and Floer-theoretic version of the SYZ conjecture
and verify it for the Gross's special Lagrangian fibration in any toric
Calabi-Yau manifold. By combining both the ideas of Gross-Hacking-Keel and
Kontsevich-Soibelman, the dual analytic fibration with singularities is
explicitly written down and is proved to be compatible with the family Floer
mirror construction. As a surprising outcome, the Maurer-Cartan set of a
singular Lagrangian is naturally only a strict subset of the corresponding dual
singular fiber. This responds negatively to the previous expectation and leads
to new perspectives of SYZ singularities. As extra evidence, we also check some
computations for a well-known folklore conjecture.",-0.61058426,-0.39164913,-0.017481668,B
7392,"Moreover,
we want to further study the locations of the critical points of W∨ .",", n−m−1} and agree with the c1 -eigenvalues.","For simplicity, let’s assume

n = 2 and m = 1, then

                       W∨ = x1 + TE(Hy1)x0 + TE(H2)x0

is deﬁned on Y = {x0x1 = 1 + y}.",2022-06-09 17:49:41+00:00,Family Floer mirror space for local SYZ singularities,math.SG,"['math.SG', 'math.AG', 'math.DG']",[arxiv.Result.Author('Hang Yuan')],"We state a non-archimedean and Floer-theoretic version of the SYZ conjecture
and verify it for Gross's special Lagrangian fibration in any toric Calabi-Yau
manifold. By combining the ideas of both Gross-Hacking-Keel and
Kontsevich-Soibelman, the dual analytic fibration with singularities is
explicitly written down and is proved to be compatible with the family Floer
mirror construction. Despite the mirror symmetry background, the formula in
itself is literally elementary. Moreover, we discover that the Maurer-Cartan
set of a singular Lagrangian is only a strict subset of the corresponding dual
singular fiber. This responds negatively to the previous expectation and leads
to new perspectives of SYZ singularities. As extra evidence, we also check some
computations for a well-known folklore conjecture for the Landau-Ginzburg
model.",0.72056305,-0.2502909,0.02480132,A
7393,"But admittedly, an ultimate answer
would require further researches.","The framework of Deﬁnition 1.5 offers a preliminary attempt, and should be sufﬁcient when the
mirror space is expected to be algebraic rather than transcendental.","6 Generalizations

By combining the ideas in § 2, 3, 5 with some basics of tropical and toric geometry, we can obtain quite

a lot of generalizations with little change of ideas.",2022-06-09 17:49:41+00:00,Family Floer mirror space for local SYZ singularities,math.SG,"['math.SG', 'math.AG', 'math.DG']",[arxiv.Result.Author('Hang Yuan')],"We state a non-archimedean and Floer-theoretic version of the SYZ conjecture
and verify it for Gross's special Lagrangian fibration in any toric Calabi-Yau
manifold. By combining the ideas of both Gross-Hacking-Keel and
Kontsevich-Soibelman, the dual analytic fibration with singularities is
explicitly written down and is proved to be compatible with the family Floer
mirror construction. Despite the mirror symmetry background, the formula in
itself is literally elementary. Moreover, we discover that the Maurer-Cartan
set of a singular Lagrangian is only a strict subset of the corresponding dual
singular fiber. This responds negatively to the previous expectation and leads
to new perspectives of SYZ singularities. As extra evidence, we also check some
computations for a well-known folklore conjecture for the Landau-Ginzburg
model.",-0.61032844,-0.38828975,-0.0038819823,B
7394,"Moreover,

we want to further study the locations of the critical points of W∨ .",", n − m} and agree with the c1 -eigenvalues.","For simplicity, let’s assume

n = 2 and m = 1, then W∨ = x1 + TE(Hy1)x0 + TE(H2)x0 is deﬁned on Y = {x0x1 = 1 + y}.",2022-06-09 17:49:41+00:00,Family Floer mirror space for local SYZ singularities,math.SG,"['math.SG', 'math.AG', 'math.DG']",[arxiv.Result.Author('Hang Yuan')],"We give a mathematically precise statement of SYZ conjecture between mirror
space pairs and prove it for any toric Calabi-Yau manifold with Gross's special
Lagrangian fibration. To date, it is the first time we realize the SYZ proposal
with singular fibers beyond the topological level. The dual singular fibration
is explicitly written and proved to be compatible with the family Floer mirror
construction. We use both ideas of Kontsevich-Soibelman and
Gross-Hacking-Keel-Siebert. Moreover, we discover that the Maurer-Cartan set of
a singular Lagrangian is only a strict subset of the corresponding dual
singular fiber. This responds negatively to the previous expectation and leads
to new perspectives of SYZ singularities. As extra evidence, we also check some
computations for a well-known folklore conjecture for the Landau-Ginzburg
model.",0.73169863,-0.25603378,0.0373843,A
7395,"But admittedly, an ultimate answer
would require further researches.","The framework of Deﬁnition 1.1 offers a preliminary attempt, and should be sufﬁcient when the
mirror space is expected to be algebraic rather than transcendental.","6 Generalizations

By combining the ideas in § 2, 3, 5 with some basics of tropical and toric geometry, we can obtain quite

a lot of generalizations with little change of ideas.",2022-06-09 17:49:41+00:00,Family Floer mirror space for local SYZ singularities,math.SG,"['math.SG', 'math.AG', 'math.DG']",[arxiv.Result.Author('Hang Yuan')],"We give a mathematically precise statement of SYZ conjecture between mirror
space pairs and prove it for any toric Calabi-Yau manifold with Gross's special
Lagrangian fibration. To date, it is the first time we realize the SYZ proposal
with singular fibers beyond the topological level. The dual singular fibration
is explicitly written and proved to be compatible with the family Floer mirror
construction. We use both ideas of Kontsevich-Soibelman and
Gross-Hacking-Keel-Siebert. Moreover, we discover that the Maurer-Cartan set of
a singular Lagrangian is only a strict subset of the corresponding dual
singular fiber. This responds negatively to the previous expectation and leads
to new perspectives of SYZ singularities. As extra evidence, we also check some
computations for a well-known folklore conjecture for the Landau-Ginzburg
model.",-0.6117827,-0.39205474,-0.01071666,B_centroid
10428,"We further study the cohomologies of the twisted diﬀerential complex and give a simple
                                          vanishing theorem for them.","When the symplectic manifold is equipped with a compatible met-
                                          ric, the symplectic ﬂat connections represent a special subclass of Yang-Mills connections.","Contents

                                          1 Introduction                                                                               2

                                          2 Twisting the diﬀerential complex of an A∞-algebra                                          6

                                          2.1 Preliminaries: TTY algebra .",2022-08-25 16:16:14+00:00,Symplectic Flatness and Twisted Primitive Cohomology,math.SG,"['math.SG', 'math.AT', 'math.DG']","[arxiv.Result.Author('Li-Sheng Tseng'), arxiv.Result.Author('Jiawei Zhou')]","We introduce the notion of symplectic flatness for connections and fiber
bundles over symplectic manifolds. Given an $A_\infty$-algebra, we present a
flatness condition that enables the twisting of the differential complex
associated with the $A_\infty$-algebra. The symplectic flatness condition
arises from twisting the $A_\infty$-algebra of differential forms constructed
by Tsai, Tseng and Yau. When the symplectic manifold is equipped with a
compatible metric, the symplectic flat connections represent a special subclass
of Yang-Mills connections. We further study the cohomologies of the twisted
differential complex and give a simple vanishing theorem for them.",-0.12005609,0.50685537,0.19740678,C
12856,"Compactness theory, in particular, requires further study, as it is currently unclear what
role, if any, is played by singular solutions to the Fueter equation.","Some of these foundational questions, such as transver-
sality and compactness for the Fueter equation, are considered in [HNS09; Wal17c; Esf].","This is parallel to
the recent developments in gauge theory and calibrated geometry, which suggest that
such singular solutions are an unavoidable part of the theory [Tau14; Tak18; DW21;
Don21; Hay22].",2022-10-21 15:40:24+00:00,Holomorphic Floer Theory and the Fueter Equation,math.SG,"['math.SG', 'math.DG', '53D40, 53C26']","[arxiv.Result.Author('Aleksander Doan'), arxiv.Result.Author('Semon Rezchikov')]","We outline a proposal for a $2$-category $\mathrm{Fuet}_M$ associated to a
hyperk\""ahler manifold $M$, which categorifies the subcategory of the Fukaya
category of $M$ generated by complex Lagrangians. Morphisms in this
$2$-category are formally the Fukaya--Seidel categories of holomorphic
symplectic action functionals. As such, $\mathrm{Fuet}_M$ is based on counting
maps to $M$ satisfying the Fueter equation with boundary values on holomorphic
Lagrangians. We make the first step towards constructing this category by
establishing some basic analytic results about Fueter maps, such as the energy
bound and maximum principle. When $M=T^*X$ is the cotangent bundle of a
K\""ahler manifold $X$ and $(L_0, L_1)$ are the zero section and the graph of
the differential of a holomorphic function $F: X \to \mathbb{C}$, we prove that
all Fueter maps correspond to the complex gradient trajectories of $F$ in $X$,
which relates our proposal to the Fukaya--Seidel category of $F$. This is a
complexification of Floer's theorem on pseudo-holomorphic strips in cotangent
bundles. Throughout the paper, we suggest problems and research directions for
analysts and geometers that may be interested in the subject.",-0.021334268,0.4612419,-0.57961506,C
12857,"Such domains are a natural quaternionic
analog of the Weinstein domains central to symplectic geometry [GPS18], with both the
intrinsic geometry of quaternionic Weinstein domains M and the analytic properties
of Fueter maps into such domains deserving of further study.","Deﬁne a
quaternionic Weinstein domain to be an almost quaternionic manifold with boundary
M admitting a proper IJK-convex function ρ : M → (−∞, 0], see Deﬁnition 4.4), such
that ρ−1(0) = ∂M is a regular level set of ρ.","2.12 Further geometric aspects

We hope that the previous sections have convinced the reader that the study of cat-
egorical aspects of the 3d Fueter equation is an exciting problem at the intersection
of mathematical physics, diﬀerential geometry, algebra, and topology.",2022-10-21 15:40:24+00:00,Holomorphic Floer Theory and the Fueter Equation,math.SG,"['math.SG', 'math.DG', '53D40, 53C26']","[arxiv.Result.Author('Aleksander Doan'), arxiv.Result.Author('Semon Rezchikov')]","We outline a proposal for a $2$-category $\mathrm{Fuet}_M$ associated to a
hyperk\""ahler manifold $M$, which categorifies the subcategory of the Fukaya
category of $M$ generated by complex Lagrangians. Morphisms in this
$2$-category are formally the Fukaya--Seidel categories of holomorphic
symplectic action functionals. As such, $\mathrm{Fuet}_M$ is based on counting
maps to $M$ satisfying the Fueter equation with boundary values on holomorphic
Lagrangians. We make the first step towards constructing this category by
establishing some basic analytic results about Fueter maps, such as the energy
bound and maximum principle. When $M=T^*X$ is the cotangent bundle of a
K\""ahler manifold $X$ and $(L_0, L_1)$ are the zero section and the graph of
the differential of a holomorphic function $F: X \to \mathbb{C}$, we prove that
all Fueter maps correspond to the complex gradient trajectories of $F$ in $X$,
which relates our proposal to the Fukaya--Seidel category of $F$. This is a
complexification of Floer's theorem on pseudo-holomorphic strips in cotangent
bundles. Throughout the paper, we suggest problems and research directions for
analysts and geometers that may be interested in the subject.",-0.057126444,0.45901495,-0.29604024,C_centroid
13657,"It may in fact be possible
to accomplish this by means of the holonomy perturbations deﬁned in [2, Section 6.2],
which are analogous to the perturbations employed by Kronheimer and Mrowka in
[11] for singular instanton knot homology, although further study into this is needed.","However, standard arguments show that a Hamiltonian isotopy may be
chosen generically after which transversality is achieved, and that such isotopies pro-
duce canonically isomorphic Lagrangian Floer homologies.",In any event we assume henceforth that Lα and Lβ intersect transversely.,2022-11-11 19:06:21+00:00,Symplectic instanton knot homology,math.SG,"['math.SG', 'math.GT']",[arxiv.Result.Author('David G. White')],"There have been a number of constructions of Lagrangian Floer homology
invariants for $3$-manifolds defined in terms of symplectic character varieties
arising from Heegaard splittings. With the aim of establishing an Atiyah-Floer
counterpart of Kronheimer and Mrowka's singular instanton homology, we
generalize one of these, due to H. Horton, to produce a Lagrangian Floer
invariant of a knot or link $K \subset Y$ in a closed, oriented $3$-manifold,
which we call symplectic instanton knot homology ($\mathrm{SIK}$). We use a
multi-pointed Heegaard diagram to parametrize the gluing together of a pair of
handlebodies with properly embedded, trivial arcs to form $(Y, K)$. This
specifies a pair of Lagrangian embeddings in the traceless
$\mathrm{SU}(2)$-character variety of a multiply punctured Heegaard surface,
and we show that this has a well-defined Lagrangian Floer homology. Portions of
the proof of its invariance are special cases of Wehrheim and Woodward's
results on the quilted Floer homology associated to compositions of so-called
elementary tangles, while others generalize their work to certain
non-elementary tangles.",-0.14161238,0.501497,0.6233418,C
